epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3559.39,1.91192,2.50003,1.24925,0.28652,0.22606,0.17083,0.08553,1.75517,2.49658,1.40392,0.00307,0.00307,0.00307
72,3609.58,1.9043,2.45736,1.24583,0.28534,0.24097,0.18323,0.08768,1.67643,2.55932,1.35383,0.002971,0.002971,0.002971
73,3659.88,1.92166,2.48109,1.25719,0.28075,0.25589,0.1819,0.0834,1.69752,2.57178,1.34854,0.002872,0.002872,0.002872
74,3709.81,1.91896,2.51006,1.25418,0.27626,0.27983,0.2078,0.10006,1.68563,2.51053,1.34352,0.002773,0.002773,0.002773
75,3759.53,1.89233,2.4399,1.23351,0.32213,0.20604,0.18571,0.09173,1.72191,2.63567,1.36027,0.002674,0.002674,0.002674
76,3808.52,1.88493,2.44143,1.23416,0.26438,0.28768,0.21099,0.09262,1.76276,2.48803,1.37647,0.002575,0.002575,0.002575
77,3858.68,1.86888,2.50592,1.2391,0.28415,0.26334,0.20135,0.09777,1.70033,2.4745,1.34755,0.002476,0.002476,0.002476
78,3907.31,1.82405,2.53054,1.21862,0.29592,0.26656,0.20767,0.10093,1.6918,2.55345,1.34642,0.002377,0.002377,0.002377
79,3957.48,1.8466,2.38023,1.21813,0.29138,0.281,0.21488,0.09878,1.68127,2.52037,1.33569,0.002278,0.002278,0.002278
80,4007.68,1.84586,2.45202,1.23619,0.29004,0.28179,0.21799,0.10229,1.7108,2.5496,1.34721,0.002179,0.002179,0.002179
81,4058.21,1.8773,2.48153,1.24385,0.30514,0.27669,0.21639,0.10086,1.67366,2.51292,1.3209,0.00208,0.00208,0.00208
82,4106.94,1.85952,2.33597,1.21534,0.28554,0.27904,0.21018,0.10493,1.69547,2.49637,1.34127,0.001981,0.001981,0.001981
83,4156.21,1.86034,2.41287,1.23291,0.28445,0.29003,0.208,0.10242,1.71794,2.45059,1.36833,0.001882,0.001882,0.001882
84,4206.36,1.8716,2.37629,1.21993,0.29066,0.27786,0.209,0.10426,1.72671,2.5373,1.33978,0.001783,0.001783,0.001783
85,4255.41,1.81668,2.40902,1.20903,0.28279,0.28885,0.21856,0.1053,1.76927,2.49593,1.35362,0.001684,0.001684,0.001684
86,4306.03,1.83694,2.50051,1.22402,0.28771,0.29592,0.22974,0.10944,1.712,2.41758,1.32123,0.001585,0.001585,0.001585
87,4355.14,1.81479,2.29529,1.20866,0.29004,0.30181,0.24003,0.11155,1.69135,2.4692,1.32966,0.001486,0.001486,0.001486
88,4406.45,1.8101,2.30075,1.21281,0.29478,0.2967,0.24885,0.12079,1.63655,2.44757,1.31113,0.001387,0.001387,0.001387
89,4456.5,1.82487,2.54319,1.21045,0.30649,0.27041,0.23233,0.11544,1.69535,2.50607,1.32343,0.001288,0.001288,0.001288
